15;;QUANTIDADE DE FIO NA ESPULA;COR1;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 2;REFERENCIA;;;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 3;Largura;;LARGURA;;
ELASTICO 16410 314 7MM;20;314;;;;;;;;;314;16410;7MM;OK;OK;OK;0
ELASTICO 16410 055 7MM;20;55;;;;;;;;;55;16410;7MM;OK;OK;OK;0
ATAC 3000 296 3MM;16;2;296;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 3000 226 3MM;16;2;226;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ELAST MTM ENGOMADO 612 38MM;144;612;;;;;;;;;612;MTM;38MM;OK;OK;OK;0
ELAST MTM ENGOMADO 100 38MM;144;100;;;;;;;;;100;MTM;38MM;OK;OK;OK;0
FITA M32107 612 10MM;68;612;;;;;;;;;612;M32107;10MM;OK;OK;OK;0
FITA MDP 158/1P 13MM;90;158/1P;;;;;;;;;158/1P;MDP;13MM;OK;OK;OK;0
ATAC 11628 104 7MM;40;104;;;;;;;;;104;11628;7MM;OK;OK;OK;0
ATAC 11628 048 7MM;40;48;;;;;;;;;48;11628;7MM;OK;OK;OK;0
ATAC M16068 100;16;2;100;;;;M16068;;;;;;1200;360;;;0
ATAC M16068 248;16;2;248;;;;M16068;;;;;;1200;360;;;0
ATAC M16068 182;16;2;182;;;;M16068;;;;;;1200;360;;;0
ATAC M16068 290;16;2;290;;;;M16068;;;;;;1200;360;;;0
ATAC 3000 122 3MM;16;2;122;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 14163 187 6MM;46;187;;;;;;;;;187;14163;6MM;OK;OK;OK;0
ELAST CANELADO ZW 030/1 10MM;44;030/1;;;;;;;;;030/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 316/1 10MM;44;316/1;;;;;;;;;316/1;CANELADO ZW;10MM;OK;OK;OK;0
FITA M32107 175 10MM;68;175;;;;;;;;;175;M32107;10MM;OK;OK;OK;0
ATAC 6ALF  427/100 6MM;1 . 52 . 3;427 , 100 , 427;;;;;;;;;427/100;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 102/740 6MM;1 . 52 . 3;102 . 740 . 102;;;;;;;;;102/740;6ALF;6MM;OK;OK;OK;0
ELAST CANELADO ZW 113/1 10MM;44;113/1;;;;;;;;;113/1;CANELADO ZW;10MM;OK;OK;OK;0
FITA MDP 226/1P 13MM;90;226/1P;;;;;;;;;226/1P;MDP;13MM;OK;OK;OK;0
FITA 726 004 10MM;90;4;;;;;;;;;4;726;10MM;OK;OK;OK;0
ATAC 11628 045 7MM;40;45;;;;;;;;;45;11628;7MM;OK;OK;OK;0
ATAC 11628 317 7MM;40;317;;;;;;;;;317;11628;7MM;OK;OK;OK;0
FITA 726 290 10MM;90;290;;;;;;;;;290;726;10MM;OK;OK;OK;0
FITA M3225 010 13MM;96;10;;;;;;;;;10;M3225;13MM;OK;OK;OK;0
FITA 726 248 10MM;90;248;;;;;;;;;248;726;10MM;OK;OK;OK;0
ATAC M1308 104 9MM;56;104;;;;;;;;;104;M1308;9MM;OK;OK;OK;0
ATAC M1308 105 9MM;56;105;;;;;;;;;105;M1308;9MM;OK;OK;OK;0
FITA 726 102 10MM;90;102;;;;;;;;;102;726;10MM;OK;OK;OK;0
ATAC 3000 300 3MM;16;2;300;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ELASTICO 16410 301 7MM;20;301;;;;;;;;;301;16410;7MM;OK;OK;OK;0
ATAC 3000 311 3MM;16;2;311;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
FITA 726 182 15MM;120;182;;;;;;;;;182;726;15MM;OK;OK;OK;0
FITA 726 055 15MM;120;55;;;;;;;;;55;726;15MM;OK;OK;OK;0
FITA 726 187 15MM;120;187;;;;;;;;;187;726;15MM;OK;OK;OK;0
FITA M4180 1006/1P 9MM;56;1006/1P;26;100/1P;;;;;;;1006/1P;M4180;9MM;OK;OK;OK;0
ATAC M8081 2155 DARK BRUSH 7MM;40;2155;;;;;;;;;2155;M8081;7MM;OK;OK;OK;0
FITA MDP 2T 821/1P DARK KHAKI 15MM;108;821/1P;;;;;;;;;821/1P;MDP;15MM;OK;OK;OK;0
FITA KK 311 10MM;80;311;;;;;;;;;311;KK;10MM;OK;OK;OK;0
FITA KK 213 10MM;80;213;;;;;;;;;213;KK;10MM;OK;OK;OK;0
FITA 726 321 10MM;90;321;;;;;;;;;321;726;10MM;OK;OK;OK;0
ATAC 14163 061 6MM;46;61;;;;;;;;;61;14163;6MM;OK;OK;OK;0
ATAC 6ALF 102/176 6MM;1 . 52 . 3;102 . 176 . 102;;;;;;;;;102/176;6ALF;6MM;OK;OK;OK;0
FITA MDP 148/1P 13MM;90;148/1P;;;;;;;;;148/1P;MDP;13MM;OK;OK;OK;0
FITA MDP 017/1P 13MM;90;017/1P;;;;;;;;;017/1P;MDP;13MM;OK;OK;OK;0
ELAST CANELADO ZW 095/1 10MM;44;095/1;;;;;;;;;095/1;CANELADO ZW;10MM;OK;OK;OK;0
ATAC 6ALF 017/104 6MM;1 . 52 . 3;17 . 104 . 17;;;;;;;;;017/104;6ALF;6MM;OK;OK;OK;0
ELASTICO TR-286 206 2,5MM;16;1;206;;;;TR -268;;;;;;1200;250;;;0
ELASTICO TR-286 095 2,5MM;16;1;95;;;;TR -268;;;;;;1200;250;;;0
ELASTICO TR-286 164 2,5MM;16;1;164;;;;TR -268;;;;;;1200;250;;;0
ELASTICO TR-286 323 2,5MM;16;1;323;;;;TR -268;;;;;;1200;250;;;0
ATAC M1308 100 9MM;56;100;;;;;;;;;100;M1308;9MM;OK;OK;OK;0
ATAC M1308 102 9MM;56;102;;;;;;;;;102;M1308;9MM;OK;OK;OK;0
ATAC 14163 253 6MM;46;253;;;;;;;;;253;14163;6MM;OK;OK;OK;0
CORDAO M9043 078 ;16;1;78;;;;M9043;1MM;78;;;;1300;410;;;0
CORDAO M9043 210;16;1;210;;;;M9043;1MM;210;;;;1300;410;;;0
CORDAO M9043 348;16;1;348;;;;M9043;1MM;348;;;;1300;410;;;0
CORDAO M9043 614;16;1;614;;;;M9043;1MM;614;;;;1300;410;;;0
CORDAO M9043 102;16;1;102;;;;M9043;1MM;102;;;;1300;410;;;0
CORDAO M9043 100;16;1;100;;;;M9043;1MM;100;;;;1300;410;;;0
ELAST CANELADO ZW 258/1 10MM;44;258/1;;;;;;;;;258/1;CANELADO ZW;10MM;OK;OK;OK;0
FITA MDP 818/1P 13MM;90;818/1P;;;;;;;;;818/1P;MDP;13MM;OK;OK;OK;0
FITA MDP 817/1P 13MM;90;817/1P;;;;;;;;;817/1P;MDP;13MM;OK;OK;OK;0
ATAC M16063 252/100;12;4;252;2;2;100;M16063;;;2;1;252;600;280;CONFEKIDO 05/08/2020;;0
ATAC M16063 317/100;12;4;317;2;2;100;M16063;;;2;1;317;600;280;CONFEKIDO 05/08/2020;;0
ATAC M16063 100/042;12;4;100;2;2;42;M16063;;;2;1;100;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 108/100;12;4;108;2;2;100;M16063;;;2;1;108;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 300/100;12;4;300;2;2;100;M16063;;;2;1;300;600;280;CONFERIDO 05/08/2020;;0
ATAC M10046 353 6MM;46;353;;;;;;;;;353;M10046;6MM;OK;OK;OK;0
ATAC 6ALF 100/303 6MM;1 . 52 . 3;100 . 303 . 100;;;;;;;;;100/303;6ALF;6MM;OK;OK;OK;0
FITA MDP 2T RIO RED POLIMP 15MM;108;RIO RED;;;;;;;;;RIO RED;MDP;15MM;OK;OK;OK;0
FITA MDP 2T 753/1P STEEL GREY 15MM;108;753/1P;;;;;;;;;753/1P;MDP;15MM;OK;OK;OK;0
ATAC M10046 099 6MM;46;99;;;;;;;;;99;M10046;6MM;OK;OK;OK;0
ATAC 6AL 189 6MM;46;189;;;;;;;;;189;6AL;6MM;OK;OK;OK;0
ATAC 6AL 533 6MM;46;533;;;;;;;;;533;6AL;6MM;OK;OK;OK;0
FITA M4167 100/030 10MM;17 , 1 , 1 , 1 , 1 ;100 , 030 , 100 , 030 , 100;1 , 1 , 1 , 1  , 1 , 19;030 , 100 , 030 , 100 , 030 , 100;;;;;;;100/030;M4167;10MM;OK;;OK;0
FITA M4167 189/043 10MM;17 , 1 , 1 , 1 , 1 ;189 , 043 , 189 , 043 , 189;1 , 1 , 1 , 1  , 1 , 19;043 , 189 , 043 , 189 , 043 , 189;;;;;;;189/043;M4167;10MM;OK;;OK;0
ATAC 6AL 101 6MM;46;101;;;;;;;;;101;6AL;6MM;OK;OK;OK;0
FITA M3225 313 13MM;96;313;;;;;;;;;313;M3225;13MM;OK;OK;OK;0
ATAC M21020 753/1P STEEL GREY 8MM;64;753/1;;;;;;;;;753/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 841/1P 8MM;64;841/1;;;;;;;;;841/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 840/1P 8MM;64;840/1;;;;;;;;;840/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 752/1P 8MM;64;752/1;;;;;;;;;752/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 481/1P 8MM;64;481/1;;;;;;;;;481/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 746/1P NAVY POLIMP 8MM;64;746/1;;;;;;;;;746/1;M21020;8MM;OK;OK;OK;0
FITA MDP 2T 004/1P 15MM;108;004/1P;;;;;;;;;004/1P;MDP;15MM;OK;OK;OK;0
FITA MDP 2T 481/1P 15MM;108;481/1P;;;;;;;;;481/1P;MDP;15MM;OK;OK;OK;0
FITA 726 100 10MM;90;100;;;;;;;;;100;726;10MM;OK;OK;OK;0
ELASTICO 16410 290 7MM;20;290;;;;;;;;;290;16410;7MM;OK;OK;OK;0
ELASTICO 16410 307 7MM;20;307;;;;;;;;;307;16410;7MM;OK;OK;OK;0
ELASTICO 16410 317 7MM;20;317;;;;;;;;;317;16410;7MM;OK;OK;OK;0
ELASTICO 16410 180 7MM;20;180;;;;;;;;;180;16410;7MM;OK;OK;OK;0
ELASTICO 16410 038 7MM;20;38;;;;;;;;;38;16410;7MM;OK;OK;OK;0
ELASTICO 16410 176 7MM;20;176;;;;;;;;;176;16410;7MM;OK;OK;OK;0
FITA MFGP 140 28MM;196;140;;;;;;;;;140;MFGP;28MM;OK;OK;OK;0
FITA MFGP  055 28MM;196;55;;;;;;;;;55;MFGP;28MM;OK;OK;OK;0
FITA MFGP 182 28MM;196;182;;;;;;;;;182;MFGP;28MM;OK;OK;OK;0
FITA MFGP 100 28MM;196;100;;;;;;;;;100;MFGP;28MM;OK;OK;OK;0
FITA MFGP 321 28MM;196;321;;;;;;;;;321;MFGP;28MM;OK;OK;OK;0
ATAC 6ALF 066/104 6MM;1 . 52 . 3;066 . 104 . 066;;;;;;;;;066/104;6ALF;6MM;OK;OK;OK;0
FITA MDP 062/1P 13MM;90;062/1P;;;;;;;;;062/1P;MDP;13MM;OK;OK;OK;0
ELASTICO TR-286 100 2.5MM;16;1;100;;;;TR -268;;;;;;1200;250;;;0
FITA KK 213 8MM;64;213;;;;;;;;;213;KK;8MM;OK;OK;OK;0
ELASTICO 16410 611 7MM;20;611;;;;;;;;;611;16410;7MM;OK;OK;OK;0
ATAC 11628 175 7MM;40;175;;;;;;;;;175;11628;7MM;OK;OK;OK;0
ATAC 6AL 466 6MM;46;466;;;;;;;;;466;6AL;6MM;OK;OK;OK;0
ATAC 6AL 410 6MM;46;410;;;;;;;;;410;6AL;6MM;OK;OK;OK;0
ATAC 6AL 065 6MM;46;065;;;;;;;;;065;6AL;6MM;OK;OK;OK;0
ATAC 6AL 338 6MM;46;338;;;;;;;;;338;6AL;6MM;OK;OK;OK;0
ELAST MTM ENGOMADO 223 40MM;148;223;;;;;;;;;223;MTM;40MM;OK;OK;OK;0
ELAST MTM ENGOMADO 065 40MM;148;65;;;;;;;;;65;MTM;40MM;OK;OK;OK;0
ELAST MTM ENGOMADO 466 40MM;148;466;;;;;;;;;466;MTM;40MM;OK;OK;OK;0
ELAST MTM ENGOMADO 189 40MM;148;189;;;;;;;;;189;MTM;40MM;OK;OK;OK;0
ELAST MTM ENGOMADO 410 40MM;148;410;;;;;;;;;410;MTM;40MM;OK;OK;OK;0
ELAST MTM ENGOMADO 338 40MM;148;338;;;;;;;;;338;MTM;40MM;OK;OK;OK;0
FITA M32107 223 12MM;80;223;;;;;;;;;223;M32107;12MM;OK;OK;OK;0
FITA M32107 065 12MM;80;65;;;;;;;;;65;M32107;12MM;OK;OK;OK;0
FITA M32107 466 12MM;80;466;;;;;;;;;466;M32107;12MM;OK;OK;OK;0
FITA M32107 189 12MM;80;189;;;;;;;;;189;M32107;12MM;OK;OK;OK;0
FITA M32107 410 12MM;80;410;;;;;;;;;410;M32107;12MM;OK;OK;OK;0
FITA M32107 338 12MM;80;338;;;;;;;;;338;M32107;12MM;OK;OK;OK;0
ATAC M8081 LIGHT GREY 7MM;40;LIGHT GREY;;;;;;;;;LIGHT GREY;M8081;7MM;OK;OK;OK;0
FITA MDP 199/1P 13MM;90;199/1P;;;;;;;;;199/1P;MDP;13MM;OK;OK;OK;0
FITA MDP 053/1P 13MM;90;53/1P;;;;;;;;;53/1P;MDP;13MM;OK;OK;OK;0
FITA MDP 799/1P 13MM;90;799/1P;;;;;;;;;799/1P;MDP;13MM;OK;OK;OK;0
ELAST CANELADO 060/1 10MM;44;060/1;;;;;;;;;060/1;CANELADO ;10MM;OK;OK;OK;0
ATAC 6ALF 312/059 6MM;1 . 52 . 3;312 . 059 . 312;;;;;;;;;312/059;6ALF;6MM;OK;OK;OK;0
ATAC M16063 016/435;12;4;16;2;2;435;M16063;;;2;1;16;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 042/100;12;4;42;2;2;100;M16063;;;2;1;42;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 016/100;12;4;16;2;2;100;M16063;;;2;1;16;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 312;12;4;312;2;2;312;M16063;;;2;1;312;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 100;12;4;100;2;2;100;M16063;;;2;1;100;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 001/100;12;4;1;2;2;100;M16063;;;2;1;1;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 100/099;12;4;100;2;2;99;M16063;;;2;1;100;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 317/100 ;12;4;317;2;2;100;M16063;;;2;1;317;600;280;CONFERIDO 05/08/2020;;0
ATAC M10045 169/003 6MM;52;169;20;3;;;;;;;169/003;M10045;6MM;OK;OK;OK;0
ATAC M10045 522/100 6MM;52;522;20;100;;;;;;;522/100;M10045;6MM;OK;OK;OK;0
ATAC M18006 312;16;3;312;16;2;312;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC M18006 045;16;3;45;16;2;45;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC M18006 094;16;3;94;16;2;9;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC M18006 317;16;3;317;16;2;317;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC 6ALF 100/338 6MM;1 . 52 . 3;100 . 338 . 100;;;;;;;;;100/338;6ALF;6MM;OK;OK;OK;0
FITA 165/084 BARCELONA 10MM;4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 6;165 , 84 , 165 , 84 , 165 , 84 , 165 , 84 , 165 , 84 , 165;;;;;;;;;165/084;MFP;10MM;470;;OK;0
FITA 058/102/084 PSG 10MM;8 , 4 , 18 , 4 , 12;58 , 102 , 84 , 102 , 58;;;;;;;;;058/102/084;MFP;10MM;470;;OK;0
FITA 084/102/100 SAO PAULO 10MM;12 , 18 , 16;084 , 102 , 100;;;;;;;;;084/102/100;MFP;10MM;470;;OK;0
FITA 102/128 10MM;14 , 10 , 18;102 , 128 , 102;;;;;;;;;102/128;MFP;10MM;470;;OK;0
ATAC 14163 046 6MM;46;46;;;;;;;;;46;14163;6MM;OK;OK;OK;0
ATAC 14163 176 6MM;46;176;;;;;;;;;176;14163;6MM;OK;OK;OK;0
ATAC M10046 530 6MM;46;530;;;;;;;;;530;M10046;6MM;OK;OK;OK;0
ATAC M10046 639 6MM;46;639;;;;;;;;;639;M10046;6MM;OK;OK;OK;0
ATAC M10046 210 6MM;46;210;;;;;;;;;210;M10046;6MM;OK;OK;OK;0
FITA MDP 2T HAVANNA POLIMP 15MM;108;HAVANNA;;;;;;;;;HAVANNA;MDP;15MM;OK;OK;OK;0
ATAC M12103 102/100 8MM;70 . 2;100 - 102;;;;;;;;;102/100;M12103;8MM;OK;OK;OK;0
ATAC M12103 102/290 8MM;70 . 2;290 - 102;;;;;;;;;102/290;M12103;8MM;OK;OK;OK;0
ATAC M12103 102/515 8MM;70 . 2;515 - 102;;;;;;;;;102/515;M12103;8MM;OK;OK;OK;0
ATAC M22019 611/102 8MM;46;611;46;102;;;;;;;611/102;M22019;8MM;OK;OK;OK;0
ATAC M12115 010 HAVANNA 8MM;72;10;;;;;;;;;10;M12115;8MM;OK;OK;OK;0
ATAC M22019 059/102 8MM;46;59;46;102;;;;;;;59/102;M22019;8MM;OK;OK;OK;0
FITA MFP 181 CALIF BLUE 10MM;90;181;;;;;;;;;181;MFP;10MM;OK;OK;OK;0
ATAC M12115 099 OXIDE 8MM;72;99;;;;;;;;;99;M12115;8MM;OK;OK;OK;0
ATAC M12115 057 8MM;72;57;;;;;;;;;57;M12115;8MM;OK;OK;OK;0
ATAC M12115 494 8MM;72;494;;;;;;;;;494;M12115;8MM;OK;OK;OK;0
ATAC M22010 181/1P 5MM;32;2;181/1P;;;;M22010;;;;;;700;165;Sim;;0
ATAC M22010 100/1P 5MM ;32;2;100/1P;;;;M22010;;;;;;700;165;Sim;;0
ATAC M22010 513/1P 5MM;32;2;513/1P;;;;M22010;;;;;;700;165;Sim;;0
ATAC M22010 494/1P 5MM;32;2;494/1P;;;;M22010;;;;;;700;165;Sim;;0
ATAC M8081 BLUE INDIGO ALPINA 7MM;40;BLUE INDIGO;;;;;;;;;BLUE INDIGO;M8081;7MM;OK;OK;OK;0
ATAC M8081 2161 OXIDE 7MM;40;2161;;;;;;;;;2161;M8081;7MM;OK;OK;OK;0
ATAC M8081 2158 NEW CRIMSON 7MM;40;2158;;;;;;;;;2158;M8081;7MM;OK;OK;OK;0
ATAC M8081 2167 SHADOW 7MM;40;2167;;;;;;;;;2167;M8081;7MM;OK;OK;OK;0
FITA MFP 100 10MM;90;100;;;;;;;;;100;MFP;10MM;OK;OK;OK;0
FITA MFP 513 LIGHT GREY 10MM;90;513;;;;;;;;;513;MFP;10MM;OK;OK;OK;0
FITA MFP 494 SHADOW 10MM;90;494;;;;;;;;;494;MFP;10MM;OK;OK;OK;0
FITA M4180 189/1P LIGHT GREY 9MM;56;189/1P;26;189/1P;;;;;;;189/1P;M4180;9MM;OK;OK;OK;0
FITA MDP 867/1P OXIDE 15MM;108;867/1P;;;;;;;;;867/1P;MDP;15MM;OK;OK;OK;0
ATAC 6ALF 365/373 6MM;1 . 52 . 3;365 . 373 . 365;;;;;;;;;365/373;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 624/104 6MM;1 . 52 . 3;624 . 104 . 624;;;;;;;;;624/104;6ALF;6MM;OK;OK;OK;0
ATAC M16063 118;12;4;118;2;2;118;M16063;;;2;1;118;600;280;CONFERIDO 05/08/2020;;0
ATAC 11628 182 7MM;40;182;;;;;;;;;182;11628;7MM;OK;OK;OK;0
ELAST CANELADO ZW 061/1 10MM;44;061/1;;;;;;;;;061/1;CANELADO ZW;10MM;OK;OK;OK;0
ELASTICO 16410 022 7MM;20;22;;;;;;;;;22;16410;7MM;OK;OK;OK;0
ATAC M12015 310 8MM;72;310;;;;;;;;;310;M12015;8MM;OK;OK;OK;0
ATAC 6ALF 786/104 6MM;1 . 52 . 3;786 . 104 . 786;;;;;;;;;786/104;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 427/739 6MM;1 . 52 . 3;427 , 739 , 427;;;;;;;;;427/739;6ALF;6MM;OK;OK;OK;0
ATAC M12015 740 8MM;72;740;;;;;;;;;740;M12015;8MM;OK;OK;OK;0
FITA KK 100 8MM;64;100;;;;;;;;;100;KK;8MM;OK;OK;OK;0
ELAST CANELADO 116/1 10MM;44;116/1;;;;;;;;;116/1;CANELADO ;10MM;OK;OK;OK;0
ELAST CANELADO 165/1 10MM;44;165/1;;;;;;;;;165/1;CANELADO ;10MM;OK;OK;OK;0
ELAST CANELADO 081/1 10MM;44;081/1;;;;;;;;;081/1;CANELADO ;10MM;OK;OK;OK;0
ATAC M6034 2157 GREY FIVE 8MM;48;2;2157;;;;M6034;8MM;1x1;;;;1200;326;CONFERIDO 17/07/2020;;0
CORDAO M9043 378;16;1;378;;;;M9043;1MM;378;;;;1300;410;;;0
CORDAO M9043 513;16;1;513;;;;M9043;1MM;513;;;;1300;410;;;0
CORDAO M9043 075;16;1;75;;;;M9043;1MM;75;;;;1300;410;;;0
ATAC M8081 2000 WHITE 7MM;40;2000;;;;;;;;;2000;M8081;7MM;OK;OK;OK;0
ATAC M12026 821 8MM;72;821;;;;;;;;;821;M12026;8mm;OK;OK;OK;0
ATAC M12026 100 8MM;72;100;;;;;;;;;100;M12026;8mm;OK;OK;OK;0
ATAC M12026 368 8MM;72;368;;;;;;;;;368;M12026;8mm;OK;OK;OK;0
ATAC M12026 094 8MM;72;94;;;;;;;;;94;M12026;8mm;OK;OK;OK;0
ATAC M12026 102 8MM;72;102;;;;;;;;;102;M12026;8mm;OK;OK;OK;0
ATAC M12103 494/459 8MM;70 . 2;494 , 459;;;;;;;;;494/459;M12103;8MM;OK;OK;OK;0
ATAC M22019 100/118 8MM;46;100;46;118;;;;;;;100/118;M22019;8MM;OK;OK;OK;0
FITA MFP 021 10MM;90;21;;;;;;;;;21;MFP;10MM;OK;OK;OK;0
ATAC M10046 136 6MM;46;136;;;;;;;;;136;M10046;6MM;OK;OK;OK;0
ATAC M10030 170/278 6MM;10 . 4 . 10 . 4 . 14;170 , 278 , 170 , 278 , 170;;;;;;;;;170/278;M10030;6MM;OK;OK;OK;0
ATAC M10030 612/100 6MM;10 . 4 . 10 . 4 . 14;612 , 100 , 612 , 100 , 612;;;;;;;;;612/100;M10030;6MM;OK;OK;OK;0
ATAC M10030 278/578 6MM;10 . 4 . 10 . 4 . 14;278 , 578 , 278 , 578 , 278;;;;;;;;;278/578;M10030;6MM;OK;OK;OK;0
ATAC M10030 338/533 6MM;10 . 4 . 10 . 4 . 14;338 , 533 , 338 , 533 , 338;;;;;;;;;338/533;M10030;6MM;OK;OK;OK;0
ATAC M10030 100/612 6MM;10 . 4 . 10 . 4 . 14;100 , 612 , 100 , 612 , 100;;;;;;;;;100/612;M10030;6MM;OK;OK;OK;0
ATAC M10046 180 6MM;46;180;;;;;;;;;180;M10046;6MM;OK;OK;OK;0
ATAC 6ALF 212/104 6MM;1 . 52 . 3;212 , 104 , 212;;;;;;;;;212/104;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 416/059 6MM;1 . 52 . 3;416 , 59 , 416;;;;;;;;;416/059;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 786/100 6MM;1 . 52 . 3;786 , 100 , 786;;;;;;;;;786/100;6ALF;6MM;OK;OK;OK;0
ELASTICO TR-286 056 2,5MM;16;1;56;;;;TR -268;;;;;;1200;250;;;0
ELASTICO TR-286 113 2,5MM;16;1;113;;;;TR -268;;;;;;1200;250;;;0
ELASTICO TR-286 035 2,5MM;16;1;35;;;;TR -268;;;;;;1200;250;;;0
ATAC 11628 239 7MM;40;239;;;;;;;;;239;11628;7MM;OK;OK;OK;0
ATAC 11628 101 7MM;40;101;;;;;;;;;101;11628;7MM;OK;OK;OK;0
ATAC 11628 148 7MM;40;148;;;;;;;;;148;11628;7MM;OK;OK;OK;0
ELAST CANELADO ZW 082/1 10MM;44;82/1;;;;;;;;;82/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 146/1 10MM;44;146/1;;;;;;;;;146/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 323/1 10MM;44;323/1;;;;;;;;;323/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 173/1 10MM;44;173/1;;;;;;;;;173/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 310/1 10MM;44;310/1;;;;;;;;;310/1;CANELADO ZW;10MM;OK;OK;OK;0
ELASTICO TR-286 218 2,5MM;16;1;218;;;;TR -268;;;;;;1200;250;;;0
FITA 726 100 15MM;120;100;;;;;;;;;100;726;15MM;OK;OK;OK;0
ATAC M22010 021/1P 5MM;32;2;021/1P;;;;M22010;;;;;;700;165;Sim;;0
ELASTICO 16410 296 7MM;20;296;;;;;;;;;296;16410;7MM;OK;OK;OK;0
ATAC 11628 305 7MM;40;305;;;;;;;;;305;11628;7MM;OK;OK;OK;0
ATAC 11628 285 7MM;40;285;;;;;;;;;285;11628;7MM;OK;OK;OK;0
ATAC 11628 176 7MM;40;176;;;;;;;;;176;11628;7MM;OK;OK;OK;0
ATAC M8081 2167 GRIGIO SCURO 7MM;40;2167;;;;;;;;;2167;M8081;7MM;OK;OK;OK;0
ELASTICO TR-286 256 2,5MM;16;1;256;;;;TR -268;;;;;;1200;250;;;0
FITA 726 183 15MM;120;183;;;;;;;;;183;726;15MM;OK;OK;OK;0
ELASTICO 16410 146 7MM;20;146;;;;;;;;;146;16410;7MM;OK;OK;OK;0
ATAC M12103 459/494 8MM;70 . 2;459/1 , 494;;;;;;;;;459/494;M12103;8MM;OK;OK;OK;0
ATAC 6ALF 104/427 6MM;1 . 52 . 3;104 , 427 , 104;;;;;;;;;104/427;6ALF;6MM;OK;OK;OK;0
ATAC M18006 129 ;16;3;129;16;2;129;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC 6AL 223 6MM;46;223;;;;;;;;;223;6AL;6MM;OK;OK;OK;0
ATAC M8081 2168 7MM;40;2168;;;;;;;;;2168;M8081;7MM;OK;OK;OK;0
ATAC M8081 PINK 244 (SEM COR AINDA) 7MM;40;244;;;;;;;;;244;M8081;7MM;OK;OK;OK;0
ATAC M4000/4 101;32;3;101;;;;4000/4;;;;;;1000;534;SIM;;0
ATAC M4000/4 326;32;3;326;;;;4000/4;;;;;;1000;534;SIM;;0
ATAC M4000/4 220;32;3;220;;;;4000/4;;;;;;1000;534;SIM;;0
ATAC M4000/4 124;32;3;124;;;;4000/4;;;;;;1000;534;SIM;;0
ATAC M8081 2169 7MM;40;2169;;;;;;;;;2169;M8081;7MM;OK;OK;OK;0
ATAC M4000/4 046;32;3;46;;;;4000/4;;;;;;1000;534;SIM;;0
ATAC M4000/4 167;32;3;167;;;;4000/4;;;;;;1000;534;SIM;;0
ATAC M4000/4 604;32;3;60;;;;4000/4;;;;;;1000;534;SIM;;0
ATAC M4000/4 197;32;3;197;;;;4000/4;;;;;;1000;534;SIM;;0
FITA MDP 051/1P 13MM;90;051/1P;;;;;;;;;051/1P;MDP;13MM;OK;OK;OK;0
ELASTICO 16410 102 7MM;20;102;;;;;;;;;102;16410;7MM;OK;OK;OK;0
ATAC 6ALF 042/100 6MM;1 . 52 . 3;042 . 100 . 042;;;;;;;;;042/100;6ALF;6MM;OK;OK;OK;0
ELAST CANELADO ZW 234/1 10MM;44;234/1;;;;;;;;;234/1;CANELADO ZW;10MM;OK;OK;OK;0
