aba;aplica_a;tipo;formula1;formula2;cor_fundo
DADOS DOS PRODUTOS;O773:P773;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O755:Q758,O762:Q762;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O741;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O45:P45,O12:P12;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O767:Q767;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O933:Q938;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O974:Q976,Q977;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1055,O1057:O1060;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1067:Q1069,P1065:Q1066;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1106:Q1106;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1104:Q1104,O1106:Q1107,Q1105;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1153:P1153;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1153:Q1153;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1153:P1158;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1165:Q1169;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1009;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1009:P1009;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1119;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1059:Q1059;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1103;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1101:Q1104;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1120:Q1120;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1120;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1120:O1126;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1135:P1135;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1135:Q1135;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1152;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1152:P1152;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1152:Q1152;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1158;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1158:Q1158;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O957:Q966,Q967;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O929:Q929;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O929;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O929:P931;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O929:O931;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q927;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O919:Q919;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O919;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O920:Q920;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O920;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O920:P920;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O933;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O931:P931,O933:P935;valor da celula;"=""ERRADO""";;RGB 255
